,apple,character,cherry,cinnamon,dry,fresh,herb,oak,plum,soft,spice,strawberry,sweet,vanilla
White Blend,0.6994246507752963,0.1343598521238002,0.008689923269675352,0.029526314916106997,0.2121380729193779,0.4111243241836698,0.11871450534817816,0.19316795997582836,0.020866623410192436,0.1720203848805729,0.21336097576937685,0.0065091502840064035,0.30254674580023483,0.24340555936021635
Portuguese Red,0.003980509207194001,0.5121588513256281,0.04591108798579452,0.006933114494629845,0.40197797621645565,0.26232789764341413,0.017919974438340466,0.07348001438577684,0.3125733432821758,0.5075716996402595,0.35334658029697436,0.02923108039146133,0.13099930329344558,0.03462237278767107
Pinot Gris,0.6399477042522497,0.09643047598321569,0.012133380667732665,0.12596947324383556,0.4980786949767707,0.4173546037943497,0.03946575162186299,0.10069264352425332,0.013710684120475445,0.1253795666763139,0.22915931638117196,0.015904800605793006,0.22233342923134805,0.11437499280754954
Riesling,0.5220581542004269,0.08347515862323163,0.032564210012630365,0.014735895603904928,0.6609324733071938,0.3650465516164838,0.06195610640463379,0.009717687166560868,0.0467529379593772,0.07580837496388383,0.13638077782758679,0.0035084504136056473,0.343721446088985,0.022286548404142948
Pinot Noir,0.013534393825264092,0.10485266020951721,0.7816032918019462,0.12965558780772996,0.22111814259420934,0.1334862052229631,0.08544332502247234,0.3213195261403675,0.1893243287091634,0.16781119765888886,0.19202153434490923,0.23950498953771346,0.12696074369761928,0.09742496281490598
Tempranillo-Merlot,0.0,0.0,0.5023440282797078,0.0,0.23978330111333135,0.10046069591204149,0.0,0.13027683079246827,0.7450370288554511,0.10944757450999285,0.2075415234704984,0.0,0.23012520895832814,0.0
Frappato,0.033115819974968284,0.033115819974968284,0.6875225861355785,0.08652000015037845,0.03125470195966801,0.28808144723125917,0.11181383145344781,0.06792405475716116,0.0323707700212032,0.05706404583864824,0.37872978653188283,0.5149858862876251,0.059991623987188346,0.0
Gewürztraminer,0.18005431024222848,0.20925230649772497,0.0048109845295754156,0.031785043149641534,0.5327698458072414,0.292484248449364,0.016430917481726513,0.024953409704143864,0.042811636066133744,0.20544469405913318,0.5128111067961607,0.0,0.4870675383443974,0.0907012375257893
Tempranillo Blend,0.007215812641145418,0.048105417607636126,0.3376637972492986,0.0345627015726322,0.18841780267257024,0.12364155035618041,0.06497016906655168,0.4020774275053645,0.7171026875598704,0.05180850416667233,0.25150109342251903,0.05610674401380697,0.07189572098207,0.27795026820267427
Meritage,0.0,0.048076050578776716,0.6416448518537354,0.020934304241142614,0.27980734200358626,0.06336721569459379,0.08116313321587804,0.5670021667382263,0.20364248984187058,0.24162542369346077,0.17018324303975196,0.041535179552710855,0.17418625607284444,0.11947552139374261
Red Blend,0.005568708517634452,0.04558091045915608,0.72426223652807,0.108040378642953,0.11075997202213175,0.13130271141980013,0.1446163947387505,0.2390161575331193,0.38749100255152846,0.15921932666303826,0.35802682804062813,0.061474800210162266,0.12983764706941323,0.17260305471191736
Nero d'Avola,0.0136221644512977,0.0,0.7945665770627892,0.1008381311989042,0.004285531711557766,0.17236663114293407,0.06132603294094771,0.15832951302033052,0.16866539127559693,0.20343480596996477,0.44511478964623263,0.041190918107745396,0.053467924532398736,0.16503303632665228
Chenin Blanc,0.7197105575530518,0.2741754504964007,0.0,0.008954051279762017,0.33316214713587383,0.2927179979947103,0.030857968219469838,0.07029536157742644,0.07370191577776261,0.16535740834364676,0.23237135235660827,0.008882743924638708,0.3352644028734128,0.0702655869407123
Gamay,0.005057327319865576,0.38435687630978377,0.7024728590408761,0.0,0.2744534892183234,0.27596705920063247,0.002845966796613638,0.012966392575327041,0.22740311630468008,0.33551260368820585,0.16525209295499763,0.07864676743732321,0.09619787254006877,0.009426109431706771
Sauvignon Blanc,0.5455192778676085,0.29797923570577756,0.0023014852424034058,0.009123222985443031,0.34055524963809525,0.47376085063573947,0.15633152708224354,0.2777399156203299,0.051579984529827386,0.21394483535528783,0.10522738549618532,0.0030168561326809154,0.23968136336166126,0.23358164822975822
Viognier-Chardonnay,0.4491097039394021,0.4491097039394021,0.0,0.0,0.0,0.17758633126548753,0.0,0.0,0.4390054950021501,0.0,0.0,0.0,0.6101952293819631,0.0
Cabernet Sauvignon,0.003110878061473808,0.06021771104710014,0.5880787490564443,0.060957233706572425,0.2732619839641585,0.0767933266559323,0.18356495583248758,0.539856218126296,0.2799789543324714,0.23682181398399588,0.17570989702295278,0.033403464257179404,0.21676829701653708,0.16628455655063182
Primitivo,0.028979056035568936,0.028979056035568936,0.6302880565655262,0.10094945293822119,0.1276353179244235,0.0534746698460953,0.10871807189602982,0.28728904958064344,0.3871367090994531,0.2580011994265258,0.3550924252218371,0.05007276101988208,0.3412343141215743,0.12602956416794156
Catarratto,0.19868217262027466,0.0,0.0,0.0,0.09375809046310565,0.7856262693502521,0.5590332903065787,0.0,0.0,0.08559057736072587,0.08115117625810306,0.0,0.08998166285632325,0.0
Merlot,0.00680200029244312,0.05565272966544371,0.6700183198426705,0.07673943003558181,0.25853987602395423,0.07482082350552097,0.14893490617454433,0.36654718981612994,0.3662976248327139,0.2589269654655475,0.22125035999469134,0.04968373291494034,0.1747526076586434,0.17288074867102257
Petit Verdot,0.0,0.037594743269065325,0.6225497986627025,0.0491109263752435,0.2838552684518867,0.11892528660074593,0.19040502200762452,0.3855540044485725,0.34911478858881656,0.16195493232688787,0.27639841435730855,0.08525968818029467,0.15323739027281374,0.2715252640533327
Chardonnay,0.6712666720450363,0.1708967844756457,0.0005893711281090142,0.05010069516577692,0.13484789744865008,0.20477029112133877,0.02415449472981592,0.5068381768698624,0.015733957627203133,0.1684719449545141,0.1676878806873306,0.0002575218051226724,0.18917479235994375,0.3279709818744638
Malbec,0.0069413371453824835,0.13448840719178562,0.3079496839363497,0.02040218399335458,0.15968628305774896,0.14958799372790899,0.11132604101467551,0.44313962862805684,0.6878464867701221,0.1255912794586621,0.28635213889105293,0.02473741987837352,0.17447420825712234,0.16738052130928344
Sangiovese,0.007111687894837252,0.013207420376126325,0.834656605626602,0.11811788401053305,0.06328465738726254,0.10685956003246337,0.22354253534554006,0.21307183981759073,0.2348677088391422,0.06608739777707662,0.2859102922537269,0.07241289427748455,0.08190110577214592,0.15858820334085508
Cabernet Franc,0.0115004708112259,0.10781691385524282,0.753240503283758,0.07323880388905421,0.1641688863984169,0.14210937781995422,0.23136647623250808,0.2830642066681025,0.25715456606777776,0.20684220337073717,0.2700967655467908,0.0819703666016349,0.1536500656829132,0.15004622534487722
Bordeaux-style Red Blend,0.0014776366356389404,0.4068426203459216,0.35352096854643666,0.030240937894200463,0.4704427249446395,0.2726663392565405,0.13969655553890756,0.22427840576311428,0.2739530747736655,0.3136085432230838,0.33154273942069823,0.03638310996281355,0.2159319302523911,0.10878678954360717
Champagne Blend,0.4781155723174339,0.4800912565005638,0.027344986978013512,0.01806618968902092,0.46989185017678076,0.31717624472140915,0.026683176611626697,0.01215701263678891,0.02896851944552568,0.41874504522329004,0.07746841577712493,0.14337852816566515,0.10558315724267016,0.06075931677431901
Aglianico,0.038061054264363424,0.012687018088121142,0.6814877771700081,0.12706242604290904,0.015965338999139912,0.06020019546775984,0.12375148354348785,0.1995052050188547,0.3265749830199176,0.06558550405367072,0.5492895578548881,0.04384366585313717,0.09959482255585554,0.18523266753874504
Petite Sirah,0.004111600083038161,0.06578560132861058,0.5121693361751094,0.0698240798647215,0.41133586722608895,0.07478694520905409,0.04627534101388363,0.4174497021318267,0.2652603382103885,0.41801313122778416,0.18808961069731217,0.06926802201967372,0.2495231123025532,0.17242681204805946
Touriga Nacional,0.032703808842836794,0.7521876033852463,0.09699553717444889,0.0,0.3086584596429876,0.18104372120686044,0.036807565816003744,0.08384872035056357,0.3516483128716074,0.2817704118932685,0.24044002223690006,0.06357233489401731,0.11849047401099294,0.09143258726065402
Carmenère,0.0,0.05479366547641918,0.2648333555320821,0.015906288054883432,0.10630150709841323,0.1251838443544912,0.20213830617799622,0.4838911082307858,0.7081941308699076,0.08130487639383652,0.30089095558313816,0.015779615189653498,0.11029173027761471,0.11631162527710578
Albariño,0.9067455940389251,0.05238974543336011,0.0,0.010528922630654487,0.17876423827624438,0.34420231213689173,0.02267836296741006,0.06612733389324763,0.011817938018570406,0.07291540322608882,0.016460342007577518,0.0,0.08030650519944839,0.08637979930570619
Petit Manseng,0.15603702344786993,0.15603702344786993,0.0,0.06794498471515521,0.19635693418727632,0.5347328277912673,0.0,0.3200484642333761,0.0,0.04481294169617396,0.2124429488834721,0.0,0.6595679559485798,0.19388660787156803
Rosé,0.08862894269365292,0.2507550573771643,0.334811585193199,0.016001856857793834,0.36179448141726894,0.3886350120829505,0.04460380496366507,0.02216918902537138,0.0986088763288686,0.29799484103762536,0.18600450117339176,0.6078970185534575,0.14619872500149467,0.09199674104785326
Zinfandel,0.0018521019691174535,0.08797484353307904,0.47515403087956815,0.238315410619711,0.42564124801350744,0.06371493470702067,0.06253525280848676,0.30485830101193523,0.18375892986369796,0.34627543102254776,0.261744106031879,0.13801023838446277,0.4034642733109359,0.15361595279974707
Vernaccia,0.8490054170982938,0.04994149512342904,0.012343368958620898,0.016309947061764335,0.011783692406551098,0.32583863700775134,0.2810414036999662,0.2560882421137709,0.0,0.010757184063116015,0.06119539090858039,0.0,0.045236255648621077,0.1396253302709913
Rosato,0.08179080246304624,0.013631800410507705,0.7681751195005496,0.05342265605042677,0.03859706865112945,0.3018549778012276,0.3375317734596645,0.027960266670790903,0.0,0.023489851197298055,0.1113574130219176,0.4239777134558508,0.01234747992219029,0.0
Grüner Veltliner,0.40912659874205765,0.23411133150239963,0.0,0.011876711429912467,0.25098682279734674,0.7082205497338506,0.051162760353572846,0.032634077512064895,0.15108162255756938,0.15862340946009174,0.3973423884737539,0.0,0.03705807238571074,0.0466003640963315
Viognier,0.4478794450654749,0.14435783766573157,0.010978150444438128,0.04835337180773369,0.3074243632299451,0.2956543184491005,0.05832336306492755,0.3909948891254059,0.010854617724114956,0.19453719400153804,0.24794509880174148,0.004796830018516029,0.36209674971767225,0.4553350805544907
Vermentino,0.4977078351027705,0.15717089529561176,0.0,0.0,0.19778379811267172,0.7354214989874106,0.32430401357988625,0.08059353887628899,0.012802901326029369,0.12413110383587693,0.08559468192216657,0.0,0.059317931099039115,0.09764776035728572
Grenache Blanc,0.7843264094647325,0.052288427297648835,0.01723123824001872,0.02276854758579255,0.3289986905277887,0.2756775576206666,0.11769942384524967,0.28599760892656695,0.0,0.07508468798294535,0.08542824600575162,0.0,0.1105115002530092,0.276130681658611
Syrah,0.0028359439555098575,0.10280296838723234,0.5467193153069513,0.06483159338567339,0.265648891668697,0.12167027186738552,0.21863867016766944,0.39917937316166163,0.35968516653361887,0.2510594226343328,0.31680417287022383,0.047777075685742014,0.23247236459559262,0.21143118786730072
